,id,news_url,title,tweet_ids
5244,gossipcop-881988237,www.adweek.com/digital/boy-george-pays-justin-bieber-a-backhanded-compliment/,Boy George Pays Justin Bieber a ‘Beautiful’ Backhanded Compliment,819309208021663744	819309306113880072	819310312960757766	819311230267461632	819311676126334977	819313023168970754	819337920826015746	819337954489499648	819337991487426560	819338015571120129	819413618294931456	819496996130131969	819509994387226624	819741344788840448	819939358002348033
2606,gossipcop-392954107,www.dailymail.co.uk/femail/article-4795198/Man-35-spends-fortune-making-look-OLDER.html,Pawelw Ladziak spends fortune making himself look older,877217607040065536	877686469942538242	877690965045248001
2877,gossipcop-8697625230,okmagazine.com/photos/taylor-swift-new-album-breakup-boyfriend-joe-alwyn/,Taylor Swift Terrified Her Comeback Means A Breakup With Boyfriend Joe Alwyn,907365946351771648	907383182776922112	907416338959921152	907417028150956032	907418159140921344	907418279064555520	907420476221349888	907423599761416192	907424456024510465	907429149215686656	907441345538793477	907441894367678464	907711049989808128	907713913768292352	907715467082694657	907737597597937665	907738093121392640	907823714661752832
2439,gossipcop-5756911495,www.thewrap.com/cate-blanchett-agnes-varda-cannes-protest/,Cate Blanchett Calls for ‘Parity and Transparency’ in Red Carpet Protest of Gender Inequity in Cannes,995356429577007104	995360873752473600	995363267886411776	995371422548557824	995677796272934914	995759348667289600	996040182385213445	999704562800840709	1000044019056107520
1107,gossipcop-2561076686,www.celebritynetworth.com/richest-celebrities/models/rande-gerber-net-worth/,Rande Gerber Net Worth,558258276907757568	558258296725835780	573027171532324864	573027175659528192	573027179077902337	573027182697586688	624958116463915008	624958126568026113	682417798451167237	682417804746846208	682417815870111744	682417826511106048	700189617505435648	700189627106234369	702133798826184704	702133809152716805	877877103798112256	878644683282423808	895339541766303744	895346922382405632	895479944091971584	895585733959983104
1317,gossipcop-7807890191,www.elle.com.au/beauty/selena-gomez-hair-17574,17 Selena Gomez Hair Styles We Want To Recreate,906224404572639232	906224425971974144	906231573577699328	906233826850037760	906248181633212416	906256660628459520	906298657275748352	906298693690654720	906310470730223616	906359068037709825	906634238040174593	906634567397888005	907115005107163136	907115013122301952	907900462908633088	907900461990027264	951846409233424384	951847029004816385
300,gossipcop-9755892564,www.etonline.com/media/videos/kim-kardashian-reveals-her-limit-on-kids-with-kanye-west-98250,Kim Kardashian Reveals Her Limit on Kids With Kanye West,974158416703766528	1003401538864369664
605,gossipcop-9359253422,www.cosmopolitan.com/entertainment/a20105686/kim-kardashian-khloe-tristan-relationship-ellen-show/,Kim Kardashian Speaks Out About Khloé​ Kardashian and Tristan Thompson's Relationship Status,991040481181265921	991045513439989760	991046016139849728	991052780805685250	991643608783687680	995308290157498369	997220676472786944	997238543318564864	999340458106073090	1000867391105110016	1000884025089650688	1001917261790167040	1002268886165794816	1004935576334680066	1004982161617940480	1010197098979921921	1010501910489595904	1012371281130475521	1013854581892116480	1013866958096236544	1024538704264790016	1024660941974122497	1025455157985914880	1026241412264804353	1026315444737789952	1029031766802292736	1029173109083922438	1033191815925719041	1034258420029968385	1037029555507101697	1043029935965724672	1045836348211380224	1045841535055519744	1046575119135641601	1050608545882767361	1050643620527632386	1050757272228356096	1050890676924231680	1050931068210225154	1050937087514554368	1051764324887384065	1052220182939103232	1054236208824573952	1059276825162059777
5291,gossipcop-932555221,metro.co.uk/2018/03/19/justin-bieber-moves-mystery-blonde-selena-gomez-break-7398438/,Justin Bieber 'caught with mystery blonde' amid Selena Gomez 'break-up',975018366971891714	975019023812481025	975020262704975874	975021993983700994	975023745147555840	975025690755129345	975026070628876288	975026231518232576	975029039336337409	975051177514749957	975055181984382976	975062257481609216	975080431505752064	975098404752756737	975160037952884739	975243018612637696	975270318741782528	975500540649050112	980459886965346304
362,gossipcop-4568998185,www.etonline.com/blake-shelton-embarrasses-gwen-stefani-onstage-talks-about-when-they-first-started-mess-around,"Blake Shelton Embarrasses Gwen Stefani Onstage, Talks About When They First Started to 'Mess Around' Together",914641442860961792	914642885617664002	914644056168419328	914651744377982976	914656239979724800	914657206951452673	914666099295301633	914702673210945536	914762596867227649	914764587072815104	914779953534730240	914812061926002688	914887477613158400	914968782724059136	914981553163214848	915033784730505216	930866999756054528	971733539086569472	990668164668231680
